549,Villagómez,16
550,Villapinzón,16
551,Fusagasugá,16
552,Fúquene,16
553,Funza,16
554,Gachalá,16
555,Junín,16
556,Fosca,16
557,El Rosal,16
558,El Peñón,16
559,Gachetá,16
560,Facatativá,16
561,Fómeque,16
562,Gama,16
563,Guayabetal,16
564,Guayabal De Síquima,16
565,Guatavita,16
566,Gutiérrez,16
567,Jerusalén,16
568,Guataquí,16
569,Granada,16
570,Girardot,16
571,El Colegio,16
572,Guachetá,16
573,Guaduas,16
574,Gachancipá,16
575,Bituima,16
576,Beltrán,16
577,Arbeláez,16
578,Bojacá,16
579,Cabrera,16
580,Anolaima,16
581,Agua De Dios,16
582,Tabio,16
583,Cachipay,16
584,Albán,16
585,Anapoima,16
586,Cajicá,16
587,Chocontá,16
588,Choachí,16
589,Chipaque,16
590,Cogua,16
591,Cota,16
592,Chía,16
593,Cáqueza,16
594,Caparrapí,16
595,Cucunubá,16
596,Carmen De Carupa,16
597,Guasca,16
598,Chaguaní,16
599,San Cayetano,16
600,La Calera,16
601,San Francisco,16
602,San Juan De Rioseco,16
603,San Antonio Del Tequendama,16
604,Quipile,16
605,Quetame,16
606,Sasaima,16
607,Apulo,16
608,Ricaurte,16
609,Sesquilé,16
610,Supatá,16
611,Suesca,16
612,Subachoque,16
613,Susa,16
614,Sutatausa,16
615,Sopó,16
616,Silvania,16
617,Sibaté,16
618,Quebradanegra,16
619,Simijaca,16
620,Soacha,16
621,San Bernardo,16
622,Manta,16
623,Madrid,16
624,Machetá,16
625,Medina,16
626,Mosquera,16
627,Lenguazaque,16
628,La Mesa,16
629,Pulí,16
630,La Palma,16
631,La Vega,16
632,Nariño,16
633,La Peña,16
634,Nilo,16
635,Paratebueno,16
636,Pandi,16
637,Nemocón,16
638,Pasca,16
639,Puerto Salgar,16
640,Paime,16
641,Nocaima,16
642,Pacho,16
643,Nimaima,16
644,Venecia,16
645,Cacahual,17
646,Pana Pana,17
647,La Guadalupe,17
648,Morichal,17
649,Barrancominas,17
650,Inírida,17
651,Puerto Colombia,17
652,San Felipe,17
653,El Retorno,18
654,Miraflores,18
655,Calamar,18
656,San José Del Guaviare,18
657,Teruel,19
658,Hobo,19
659,Íquira,19
660,Guadalupe,19
661,Isnos,19
662,La Plata,19
663,Aipe,19
664,La Argentina,19
665,Garzón,19
666,Altamira,19
667,Baraya,19
668,Algeciras,19
669,Campoalegre,19
670,Elías,19
671,Nátaga,19
672,Colombia,19
673,Gigante,19
674,Timaná,19
675,Santa María,19
676,Villavieja,19
677,Tello,19
678,Tarqui,19
679,Yaguará,19
680,Tesalia,19
681,San Agustín,19
682,Suaza,19
683,Palestina,19
684,Paicol,19
685,Pital,19
686,Saladoblanco,19
687,Oporapa,19
688,Rivera,19
689,Pitalito,19
690,Palermo,19
691,Neiva,19
692,Agrado,19
693,Acevedo,19
694,Hatonuevo,20
695,Distracción,20
696,Fonseca,20
697,El Molino,20
698,Maicao,20
699,Uribia,20
700,Urumita,20
701,La Jagua Del Pilar,20
702,San Juan Del Cesar,20
703,Manaure,20
704,Barrancas,20
705,Dibulla,20
706,Riohacha,20
707,Villanueva,20
708,Albania,20
709,Aracataca,21
710,Algarrobo,21
711,Ariguaní,21
712,Ciénaga,21
713,Concordia,21
714,Cerro De San Antonio,21
715,Chivolo,21
716,Salamina,21
717,Santa Ana,21
718,Santa Bárbara De Pinto,21
719,San Zenón,21
720,San Sebastián De Buenavista,21
721,Sitionuevo,21
722,Santa Marta,21
723,Zona Bananera,21
724,Sabanas De San Ángel,21
725,Zapayán,21
726,Tenerife,21
727,Remolino,21
728,Fundación,21
729,Guamal,21
730,Nueva Granada,21
731,El Retén,21
732,El Piñón,21
733,Pedraza,21
734,Plato,21
735,Puebloviejo,21
736,El Banco,21
737,Pivijay,21
738,Pijiño Del Carmen,21
739,El Calvario,22
740,Fuente De Oro,22
741,El Dorado,22
742,Granada,22
743,Mapiripán,22
744,El Castillo,22
745,Guamal,22
746,Cumaral,22
747,Acacías,22
748,Villavicencio,22
749,Barranca De Upía,22
750,Cubarral,22
751,Mesetas,22
752,Cabuyaro,22
753,Castilla La Nueva,22
754,San Juan De Arama,22
755,La Macarena,22
756,San Juanito,22
757,Vistahermosa,22
758,Restrepo,22
759,San Martín,22
760,San Carlos De Guaroa,22
761,Puerto Rico,22
762,Puerto Concordia,22
763,Uribe,22
764,Lejanías,22
765,Puerto López,22
766,Puerto Lleras,22
767,Puerto Gaitán,22
768,Tangua,23
769,Taminango,23
770,Túquerres,23
771,San Andrés De Tumaco,23
772,Sapuyes,23
773,Yacuanquer,23
774,Sandoná,23
775,La Tola,23
776,Leiva,23
777,Los Andes,23
778,Santacruz,23
779,Linares,23
780,La Llanada,23
781,Imués,23
782,Iles,23
783,Ipiales,23
784,La Florida,23
785,Magüí,23
786,La Cruz,23
787,La Unión,23
788,Pupiales,23
789,Puerres,23
790,Ricaurte,23
791,Samaniego,23
792,Providencia,23
793,Roberto Payán,23
794,Potosí,23
795,Nariño,23
796,Olaya Herrera,23
797,Mosquera,23
798,Ospina,23
799,Policarpa,23
800,Mallama,23
801,Francisco Pizarro,23
802,Gualmatán,23
803,Arboleda,23
804,Ancuya,23
805,Barbacoas,23
806,Buesaco,23
807,Aldana,23
808,Belén,23
809,Albán,23
810,San Pedro De Cartago,23
811,San Pablo,23
812,Santa Bárbara,23
813,San Lorenzo,23
814,Pasto,23
815,Colón,23
816,San Bernardo,23
817,El Charco,23
818,El Tablón De Gómez,23
819,El Rosario,23
820,El Tambo,23
821,Guachucal,23
822,El Peñol,23
823,Funes,23
824,Guaitarilla,23
825,Córdoba,23
826,Cuaspud Carlosama,23
827,Contadero,23
828,Cumbal,23
829,Chachagüí,23
830,Consacá,23
831,Cumbitara,23
832,San Calixto,24
833,La Playa,24
834,La Esperanza,24
835,Los Patios,24
836,Labateca,24
837,Hacarí,24
838,Lourdes,24
839,Santiago,24
840,Mutiscua,24
841,Ragonvalia,24
842,Puerto Santander,24
843,Salazar,24
844,Pamplonita,24
845,Ocaña,24
846,Gramalote,24
847,Pamplona,24
848,Herrán,24
849,Bucarasica,24
850,Bochalema,24
851,Cácota,24
852,Arboledas,24
853,San José De Cúcuta,24
854,Cáchira,24
855,Ábrego,24
856,Chinácota,24
857,El Carmen,24
858,Durania,24
859,El Tarra,24
860,Cucutilla,24
861,Chitagá,24
862,El Zulia,24
863,Convención,24
864,San Cayetano,24
865,Sardinata,24
866,Toledo,24
867,Villa Del Rosario,24
868,Villa Caro,24
869,Tibú,24
870,Silos,24
871,Teorama,24
872,San Miguel,25
873,San Francisco,25
874,Valle Del Guamuez,25
875,Villagarzón,25
876,Santiago,25
877,Puerto Leguízamo,25
878,Sibundoy,25
879,Mocoa,25
880,Puerto Guzmán,25
881,Colón,25
882,Puerto Caicedo,25
883,Orito,25
884,Puerto Asís,25
885,La Tebaida,26
886,Génova,26
887,Salento,26
888,Quimbaya,26
889,Montenegro,26
890,Pijao,26
891,Filandia,26
892,Armenia,26
893,Córdoba,26
894,Buenavista,26
895,Circasia,26
896,Calarcá,26
897,Dosquebradas,27
898,Guática,27
899,Apía,27
900,La Virginia,27
901,Belén De Umbría,27
902,Balboa,27
903,La Celia,27
904,Santuario,27
905,Santa Rosa De Cabal,27
906,Marsella,27
907,Pereira,27
908,Quinchía,27
909,Mistrató,27
910,Pueblo Rico,27
911,Suratá,28
912,Sucre,28
913,Suaita,28
914,Socorro,28
915,Tona,28
916,Villanueva,28
917,Zapatoca,28
918,Simacota,28
919,Valle De San José,28
920,Vetas,28
921,Vélez,28
922,Coromoro,28
923,Matanza,28
924,Málaga,28
925,Mogotes,28
926,Macaravita,28
927,La Paz,28
928,Molagavita,28
929,Lebrija,28
930,Los Santos,28
931,Ocamonte,28
932,Piedecuesta,28
933,Páramo,28
934,Pinchote,28
935,Puente Nacional,28
936,Palmas Del Socorro,28
937,Oiba,28
938,Landázuri,28
939,Onzaga,28
940,Palmar,28
941,Girón,28
942,Floridablanca,28
943,Florián,28
944,Galán,28
945,Enciso,28
946,El Peñón,28
947,Gámbita,28
948,El Playón,28
949,Encino,28
950,Puerto Parra,28
951,Hato,28
952,Güepsa,28
953,Jesús María,28
954,Jordán,28
955,Guavatá,28
956,Guaca,28
957,La Belleza,28
